0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,1_ECDF Percentile Count_0,1_ECDF Percentile Count_1,1_ECDF Percentile_0,1_ECDF Percentile_1,1_ECDF_0,1_ECDF_1,1_ECDF_2,1_ECDF_3,1_ECDF_4,1_ECDF_5,1_ECDF_6,1_ECDF_7,1_ECDF_8,1_ECDF_9,1_Histogram_0,1_Histogram_1,1_Histogram_2,1_Histogram_3,1_Histogram_4,1_Histogram_5,1_Histogram_6,1_Histogram_7,1_Histogram_8,1_Histogram_9,1_Interquartile range,1_Kurtosis,1_Max,1_Mean,1_Mean absolute deviation,1_Median,1_Median absolute deviation,1_Min,1_Root mean square,1_Skewness,1_Standard deviation,1_Variance,state
200.0,800.0,56596.0,57450.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.5,-1.5547985138672809,57597.0,57036.176,359.7831999999995,56856.0,316.5,56491.0,57037.481377879936,0.2001993526353924,385.88758599364144,148909.22902400003,200.0,800.0,57389.0,58018.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.25,-1.4017160368312775,58363.0,57797.23,323.4719999999993,57897.5,425.5,57342.0,57798.36099954738,0.10092830436179373,361.57787695045715,130738.56109999995,rest_pressure
200.0,800.0,56621.0,57467.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.25,-1.5262435597677377,57627.0,57045.936,357.9711999999985,56877.0,327.5,56481.0,57047.237163529666,0.20689472377008913,385.2971267788018,148453.87590400007,200.0,800.0,57402.0,58061.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.5,-1.4163740514877206,58383.0,57811.596,323.7848000000004,57896.0,429.0,57333.0,57812.72993505842,0.08619598971024621,362.09180712079075,131110.47678399994,rest_pressure
200.0,800.0,56592.0,57454.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.75,-1.5400173364042264,57596.0,57025.07,360.4240000000011,56860.5,320.5,56438.0,57026.38830915035,0.19048696309553864,387.7564713837797,150355.08109999995,200.0,800.0,57396.0,58026.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.25,-1.375471899485612,58363.0,57793.478,323.20239999999944,57894.0,439.5,57300.0,57794.61642317561,0.10491705845964377,362.7508311720315,131588.16551599972,rest_pressure
200.0,800.0,56617.0,57510.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.5,-1.612878757604824,57587.0,57059.008,360.81760000000196,56897.0,331.0,56512.0,57060.31362735399,0.167231539629101,386.0016942138983,148997.30793599985,200.0,800.0,57426.0,58022.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.75,-1.3433345838770516,58401.0,57826.764,319.2391999999995,57943.0,421.5,57360.0,57827.88246263216,0.14658690033845767,359.660117755639,129355.40030400013,rest_pressure
200.0,800.0,56604.0,57493.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.25,-1.635041036257976,57571.0,57043.652,361.11840000000035,56912.0,365.0,56483.0,57044.96786977796,0.13878296956113562,387.4606649661353,150125.76689599975,200.0,800.0,57416.0,58019.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.5,-1.315945531759456,58394.0,57813.844,317.09120000000223,57887.5,435.0,57326.0,57814.97264913303,0.17467551393402472,361.25387702279403,130504.36366399997,rest_pressure
200.0,800.0,56552.0,57458.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.5,-1.6492336987475786,57508.0,57002.812,362.5583999999992,56880.0,373.0,56453.0,57004.14139456887,0.12925304932394022,389.30736527325047,151560.22465600006,200.0,800.0,57379.0,57995.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,-1.3125293850513433,58357.0,57777.592,317.70959999999945,57840.0,420.0,57295.0,57778.73587454125,0.1865301582741777,363.56834506870894,132181.9415359998,rest_pressure
200.0,800.0,56875.0,57760.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.5,-0.8406226087922266,58310.0,57361.58,395.35679999999843,57415.5,355.5,56463.0,57363.521735611735,0.10142105306344076,471.98073647130985,222765.81560000003,200.0,800.0,57720.0,58574.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.75,-0.6799486853140264,59142.0,58131.114,367.64028,58127.0,327.5,57305.0,58132.851119190775,0.13576725491279948,449.4044559236149,201964.3650040003,rest_pressure
200.0,800.0,57142.0,57893.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.5,-0.856037967672687,58431.0,57584.22,387.32631999999705,57606.5,301.5,56616.0,57586.103513851325,0.07644634035584065,465.75197219120815,216924.89959999992,200.0,800.0,57885.0,58739.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.75,-0.6952071450679158,59261.0,58347.068,360.009983999996,58305.5,389.0,57441.0,58348.74409853223,0.10353412414532728,442.2597419797556,195593.67937599996,rest_pressure
200.0,800.0,56622.0,57465.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.25,-1.6516284618563564,57555.0,57022.398,357.8175999999984,56921.0,392.5,56476.0,57023.710588298265,0.10462746314922228,386.9051403070265,149695.58759599988,200.0,800.0,57412.0,58066.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.5,-1.305839061258439,58411.0,57792.04,313.6830399999986,57814.0,366.5,57296.0,57793.18036754856,0.20709596462688623,363.0559659336287,131809.63440000018,rest_pressure
200.0,800.0,56622.0,57476.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.0,-1.6523260381556197,57553.0,57031.149,353.70679999999925,56952.0,411.0,56463.0,57032.44996379693,0.08381630161391344,385.21761745667834,148392.61279899976,200.0,800.0,57408.0,58087.0,0.001,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,-1.3046129588841378,58402.0,57798.381,313.08957200000003,57797.5,328.5,57281.0,57799.526874906165,0.2234944273435673,363.9515652377389,132460.7418390001,rest_pressure
