0_Absolute energy,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Entropy,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Peak to peak distance,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Total energy,0_Zero crossing rate,1_Absolute energy,1_Area under the curve,1_Autocorrelation,1_Centroid,1_Entropy,1_Mean absolute diff,1_Mean diff,1_Median absolute diff,1_Median diff,1_Negative turning points,1_Neighbourhood peaks,1_Peak to peak distance,1_Positive turning points,1_Signal distance,1_Slope,1_Sum absolute diff,1_Total energy,1_Zero crossing rate,state,person
1262.1525479267375,1.8024147476727097,1262.1525479267375,1.8397052684799966,0.8300806849430937,0.09130513698915481,0.00011060358352343165,0.0,0.0,0.0,0.0,1.0,0.0,3029.97508869042,0.00018028938145629188,273.8241058304753,420.857801909549,2.0,1166.2086224751629,1.7241516111991548,1166.2086224751629,1.8420955053748707,0.8292502846333284,0.09116439059542122,4.544568210533996e-05,0.0,0.0,0.0,0.0,1.0,0.0,3030.3234677786586,0.00017497178160600935,273.40200739566825,388.86582943486593,2.0,rest_pressure,pedro
1055.3608203353165,1.4928916279069768,1055.3608203353165,1.4442456754565671,0.7711429053611893,0.16132354195584575,-0.0001101142241212186,0.0,0.0,0.0,0.0,1.0,0.0,3101.4154143595397,-2.641315022161623e-05,483.80930232558137,351.904241525614,1.0,955.0379860525924,1.426201582867784,955.0379860525923,1.4489666488895894,0.7685703935677126,0.1636582150598927,-0.0002058414257266392,0.0,0.0,0.0,0.0,1.0,0.0,3090.8210560278812,-2.5352416638577917e-05,490.8109869646182,318.45214606621954,1.0,rest_pressure,pedro
981.2364792626893,1.4142894239848913,981.2364792626893,1.4357731137051142,0.774935891584503,0.16859349717138952,-2.7393455986745294e-05,0.0,0.0,1.0,0.0,1.0,0.0,3101.3581766540538,-2.786660387270315e-05,505.61189801699715,327.18788905057994,4.0,976.0723531990745,1.4344704830053667,976.0723531990745,1.4554744027559108,0.7855469389360036,0.1632350914824918,-5.8457172068685966e-05,0.0,0.0,1.0,0.0,1.0,0.0,3095.2204849784957,-2.2830276438506163e-05,489.54203935599287,325.4659397129291,2.0,rest_pressure,pedro
1018.104869876865,1.4751860568383663,1018.104869876865,1.504792361016227,0.804437435518201,0.1654900360510934,-3.287063716324544e-05,0.0,0.0,1.0,0.0,1.0,0.0,3096.288354646369,-1.722008874973666e-06,496.3046181172291,339.4814504424358,2.0,1045.4275185286338,1.4710851063829788,1045.427518528634,1.470217639071655,0.789318705598591,0.1691498713626657,-7.094563436038926e-05,0.0009671179883945502,0.0,0.0,0.0,1.0,0.0,3104.9726771331702,-1.0269968474011071e-05,507.28046421663447,348.592036855163,2.0,rest_pressure,pedro
1034.7497331521,1.5005611448395488,1034.7497331520997,1.3827248945469552,0.7981562758188682,0.15834535189093096,-6.362340496846035e-06,0.0,0.0,0.0,0.0,1.0,0.0,3090.339516195889,-5.344398859216729e-05,474.877710320902,345.03158824678223,2.0,997.5770821277008,1.4651749131944445,997.5770821277007,1.4364230894495786,0.7974882167536645,0.15963104599681377,-0.00012938340557963718,0.0,0.0,0.0,0.0,1.0,0.0,3091.7761367213266,-3.346239723656264e-05,478.73350694444446,332.63657290020035,2.0,rest_pressure,pedro
1051.6187632412857,1.5250497872340427,1051.6187632412857,1.5620137538368015,0.8040745296842248,0.155651600178783,5.193220435180511e-05,0.002553191489361728,0.0,0.0,0.0,1.0,0.0,3088.964279107693,3.1267952599512364e-05,466.7991489361702,350.6564732381746,2.0,981.2174732645715,1.4480877350044763,981.2174732645716,1.5552204897589215,0.8068241937537656,0.1619429693514669,-5.373321993634108e-06,0.0008952551477171,0.0,0.0,0.0,1.0,0.0,3091.5118117342467,2.496959712434497e-05,485.66696508504924,327.18155160539226,2.0,rest_pressure,pedro
457.9221853029618,0.9734656044511887,457.92218530296185,1.9751067010764067,0.8221228418409328,0.09260260923258351,0.00020458682653111662,0.0,0.0,0.0,0.0,1.0,0.0,3029.4856816727306,0.00011255040187220496,277.71522508851797,152.69162564286822,2.0,492.7038518222453,1.0319032012195124,492.7038518222454,1.9200793428188578,0.8094461913959841,0.08797800486340975,0.00017366900077803703,0.0,0.0,0.0,0.0,1.0,0.0,3029.675652100813,0.00010495979384377111,263.8460365853658,164.28938040088207,2.0,rest_pressure,pedro
404.61496449475726,0.940363877118644,404.61496449475726,1.4129884117849056,0.8009457885984695,0.09169087435924969,-0.00012857393142346864,0.0,0.0,0.0,0.0,1.0,0.0,3032.9460155923534,-1.3902151262197609e-05,274.98093220338984,134.91662704059928,2.0,354.8432806641929,0.8567334076965979,354.8432806641929,1.4113634451095536,0.8079627796124631,0.09819372771031504,-0.00014096537477541754,0.0,0.0,0.0,0.0,1.0,0.0,3032.929179068772,-1.3852384757843962e-05,294.4829894032348,118.32053373264183,2.0,rest_pressure,pedro
1736.7198515703872,2.085368078175896,1736.7198515703872,1.1227051671764816,0.8389611572928013,0.03889589306162666,-0.00013698121638681246,0.0,0.0,0.0,0.0,1.0,0.0,3005.238000496239,-0.00024689342902081685,116.64878329181836,579.0996504069313,2.0,1660.009686779647,2.0460444521019987,1660.0096867796467,1.133214455797461,0.840379460566601,0.04634771051258605,-0.00011712304438411857,0.0,0.0,0.0,0.0,1.0,0.0,3007.4960254763573,-0.00023262437089654358,138.99678382724557,553.5210692829767,2.0,rest_pressure,pedro
1410.277553890644,1.9429069080162542,1410.277553890644,1.878786842304004,0.8467746866777655,0.06415708326861323,0.00019782483830036685,0.0,0.0,0.0,0.0,1.0,0.0,3016.0463076315546,0.00020085581125956083,192.4070927225711,470.24926771945445,2.0,1255.1003859597272,1.816126757650951,1255.100385959727,1.897379324454722,0.846396625722674,0.0727558483100653,0.00013279860863464,0.0,0.0,0.0,0.0,1.0,0.0,3017.846608491561,0.0002001295582167664,218.19478908188586,418.50629741904874,2.0,rest_pressure,pedro
